param,mean,std,median,min,max,transform,MPF,Actual
beta_5_8,-0.3894467605258174,0.2749901408569141,-0.3893712388522253,-1.5449671349661573,0.592992188187342,-0.09736169013145435,-0.30381112494,-0.30148525692
beta_5_9,-1.3599069838346134,0.363499625631388,-1.3554887050249613,-2.8193699252147244,-0.01248805707805647,-0.33997674595865335,0.10902130169,0.17041413096
beta_6_10,2.0799116849604156,0.5867711187451898,2.0573990833087468,0.07933685567414146,4.321037608253946,0.5199779212401039,0.37076799041,0.21553571906
beta_6_7,1.7623812493299507,0.4078261226738426,1.7600431545304653,0.2884006930285134,3.3682236356498185,0.44059531233248767,-0.11808663301,-0.080761473527
beta_6_8,-0.42313084167530557,0.3062928830968979,-0.42134469628515936,-1.5889297197070351,0.6159583177204118,-0.10578271041882639,-0.047945925396,-0.062926551401
beta_6_9,-0.20130439730487154,0.5719009728499028,-0.20512012043931044,-2.15630660848144,2.3024331379721765,-0.050326099326217885,0.44545635588,0.21579657372
beta_7_10,1.1865444441633166,0.734260842511589,1.16838569730545,-1.28537232484277,4.086693933909458,0.29663611104082915,-0.34040829184,-0.18619299378
beta_7_8,-1.5092279338062622,0.31276801906914703,-1.5031360123125075,-2.727600707811281,-0.4599162035168303,-0.37730698345156555,0.21094451693,0.20845908057
beta_7_9,0.9232443305789761,0.4240357887608269,0.9144631440027055,-0.6256417977602019,2.6987264258665604,0.23081108264474404,0.19261308425,0.28279169499
beta_8_10,-1.390143635721715,0.4641958920054669,-1.380374220044728,-3.307394651182875,0.2548991673725761,-0.34753590893042874,-0.18598936904,-0.023395679997
beta_8_9,-0.881863319410886,0.3723424976097796,-0.8730093127815002,-2.59841962540815,0.3416516811801234,-0.2204658298527215,-0.29118506929,-0.17957545295
beta_9_10,-3.018686517003177,0.6524305411397099,-2.994918268961296,-6.04553062809538,-0.6029363457173407,-0.7546716292507942,-0.60453419413,-0.43481313809
